1,0,1,0,1,1,1,0,4,1,1,1,0,0,1,2,3,2,2,0,0,0,0,1,0,0,1,1,0,1,1
2,4,1,0,1,2,1,0,5,2,2,2,1,1,5,2,3,2,3,0,1,2,1,2,0,1,1,1,0,1,3
3,4,1,1,1,2,2,1,6,2,3,2,1,1,5,4,3,2,4,1,2,6,1,2,0,1,2,5,1,1,6
4,4,2,1,2,3,3,1,8,2,3,4,1,3,7,6,3,2,6,1,5,9,2,3,1,2,2,9,3,1,8
5,6,3,1,3,3,4,1,9,2,4,4,1,8,9,9,3,2,7,1,8,10,2,3,1,2,2,11,3,1,10
6,7,3,1,4,4,4,1,10,2,4,5,1,10,12,11,3,3,8,2,9,13,2,3,1,3,3,13,8,1,11
7,10,3,1,4,4,4,1,12,2,6,6,1,13,14,12,3,3,9,2,11,14,2,3,1,3,3,15,10,2,11
8,12,3,1,4,4,4,1,13,2,7,6,1,14,14,17,6,3,11,3,13,18,2,4,1,3,4,17,13,3,11
9,15,3,1,5,5,4,2,15,2,7,7,1,14,15,18,8,3,12,4,15,20,3,5,1,3,4,18,16,4,13
10,17,3,2,5,5,6,3,16,2,7,8,2,18,17,19,11,3,16,5,16,23,3,5,2,3,4,20,18,4,14
11,19,3,2,5,5,8,3,16,2,7,8,2,19,19,20,12,3,18,5,17,25,3,5,2,4,4,20,20,4,15
12,22,4,2,7,5,11,3,16,2,7,9,2,19,19,22,13,4,19,7,18,28,6,5,2,6,5,20,22,4,16
13,25,4,3,8,5,13,3,16,2,7,9,3,21,21,23,15,4,19,9,18,30,9,5,5,9,6,21,22,5,17
14,26,4,3,8,6,15,3,19,3,8,10,3,23,22,24,16,4,22,9,20,32,11,7,7,12,7,23,23,5,17
15,26,5,4,8,7,17,3,20,3,8,11,4,23,23,26,19,4,22,10,21,32,11,11,9,14,7,23,24,6,17
16,27,5,4,8,7,19,4,20,3,8,11,4,24,24,26,20,4,23,11,21,34,11,13,10,16,7,24,24,6,17
17,27,5,4,8,7,21,4,21,3,8,11,4,24,26,29,22,5,24,12,21,35,14,16,11,17,7,25,24,6,18
18,29,5,4,9,7,22,4,23,3,8,11,4,25,28,29,23,6,25,13,24,35,15,17,12,18,8,26,24,6,18
19,30,5,4,9,7,23,5,24,3,8,11,4,25,28,31,24,7,27,15,25,35,18,18,13,19,8,26,24,7,18
20,33,5,5,9,7,26,5,25,4,8,15,4,25,29,32,25,7,29,17,26,36,20,20,14,21,9,27,27,7,20
21,33,5,5,10,7,29,7,25,4,8,16,4,26,30,33,27,7,30,17,28,36,22,21,16,22,9,28,28,7,20
