1,1,3,1,1,0,0,1,2,0,1,2,0,0,2,0,0,0,0,0,0,0,0,5,1,0,0,1,1,1,0
2,2,4,1,2,0,1,1,4,0,1,6,0,0,2,0,0,0,0,1,2,0,1,6,2,0,1,1,1,2,1
3,3,6,2,2,0,1,1,7,1,1,10,0,0,3,0,1,1,1,1,6,0,2,10,4,0,1,1,1,3,2
4,4,7,2,4,3,1,2,10,2,2,13,0,1,5,0,2,2,2,2,8,0,4,12,8,0,1,2,3,4,2
5,4,10,2,6,3,2,2,11,4,4,18,0,4,8,1,2,2,2,2,9,1,7,14,8,1,1,2,4,6,3
6,8,13,3,7,5,4,2,12,4,4,21,0,4,11,1,3,5,2,3,12,1,8,16,9,2,1,4,6,10,4
7,12,15,5,9,8,6,2,16,6,4,24,0,6,14,2,3,7,2,5,13,1,11,21,9,3,2,5,9,13,4
8,16,19,7,10,11,9,2,19,6,5,28,0,6,18,3,3,9,2,5,15,1,16,23,12,5,2,5,10,16,4
9,20,23,10,14,15,11,4,21,9,5,31,0,6,21,4,3,12,4,6,17,1,20,27,16,5,2,8,12,18,4
10,22,27,13,18,17,14,5,24,12,7,34,0,8,23,6,3,15,4,6,18,2,23,30,18,6,3,9,15,22,4
11,25,29,15,22,20,17,7,28,17,9,36,0,12,26,8,4,16,4,9,20,2,26,34,22,9,4,14,16,26,4
12,28,32,16,25,24,19,8,28,21,12,38,0,15,30,9,6,19,4,9,22,4,29,37,24,12,4,18,17,30,6
13,32,35,16,25,28,23,8,31,26,12,42,0,19,32,10,8,19,5,11,27,6,33,39,26,15,5,22,19,35,7
14,36,38,18,28,32,26,9,35,28,14,45,0,23,34,14,13,21,8,15,30,7,37,43,27,19,5,26,23,35,7
15,39,42,21,31,36,29,11,38,32,16,48,0,27,36,17,16,24,10,16,33,11,40,46,29,23,5,30,25,38,9
16,42,46,23,33,38,33,14,43,37,17,50,0,30,39,20,20,25,12,20,36,15,42,48,33,26,5,33,29,41,11
17,45,49,27,34,41,36,18,46,39,18,50,1,33,42,23,23,27,16,23,37,20,44,51,37,29,6,34,32,45,13
18,49,50,30,37,43,40,21,48,41,20,50,1,35,45,26,25,30,19,27,39,23,47,54,38,34,6,39,35,48,17
19,50,52,33,37,44,43,23,51,45,22,50,1,37,49,30,26,30,24,32,43,28,50,58,41,38,6,42,38,52,20
20,50,53,35,38,45,45,25,52,47,22,52,1,41,51,33,30,34,27,37,47,32,51,60,43,42,10,44,40,53,24
21,53,55,37,42,47,49,29,55,49,24,57,2,43,54,36,35,37,28,42,50,37,54,61,45,43,13,47,41,55,27
22,55,56,37,45,50,51,33,57,52,26,58,2,44,56,41,39,40,31,44,54,41,56,62,45,46,13,50,42,55,28
23,56,59,39,45,54,53,36,60,53,28,59,2,48,58,45,40,43,34,48,57,43,58,64,49,49,16,54,44,56,31
24,56,59,42,47,56,56,38,63,56,30,59,2,51,60,46,45,46,35,52,59,46,60,65,51,49,21,55,47,58,34
25,56,59,44,50,60,56,40,63,58,33,59,2,52,63,51,48,49,39,55,60,48,62,66,52,51,24,56,49,60,37
26,57,62,48,52,64,58,43,63,59,36,61,4,54,65,54,49,50,41,57,62,51,62,68,55,52,26,58,50,61,40
27,59,65,51,54,65,63,45,65,62,38,62,4,56,66,57,51,52,43,59,65,53,64,69,57,54,30,60,50,62,42
28,62,67,53,56,68,67,47,66,64,43,66,5,59,66,60,53,54,45,60,67,55,67,69,58,56,32,63,51,64,46
29,64,68,56,58,70,68,49,68,65,46,67,7,61,69,60,55,55,48,63,69,58,70,70,58,60,36,66,52,68,46
