1,1,3,0,1,1,2,1,2,2,0,0,0,2,1,1,0,2,1,0,0,1,2,0,3,1,1,2,2,0,1
2,1,4,1,2,3,3,2,2,3,0,0,0,3,3,1,2,2,3,1,2,1,5,0,4,2,2,2,2,3,1
3,1,4,1,4,3,4,2,3,4,1,1,1,3,3,1,4,4,4,3,2,4,9,0,5,3,3,2,6,4,2
4,1,6,2,6,3,5,3,5,5,2,4,2,5,4,2,5,7,6,5,2,5,11,0,6,3,3,2,8,7,2
5,2,7,2,7,4,5,5,5,5,3,6,3,9,4,3,6,9,7,8,5,7,14,2,7,3,5,2,8,10,2
6,4,9,3,9,6,5,7,6,7,5,8,8,12,7,5,7,10,8,10,7,10,16,3,8,5,6,4,10,12,4
7,5,10,4,12,9,8,8,6,9,7,9,11,15,10,5,8,14,11,10,9,13,18,5,10,6,8,4,13,14,4
8,5,11,4,13,12,9,9,9,13,9,10,12,18,12,5,10,15,14,11,9,16,22,5,12,9,10,4,15,16,5
9,5,16,7,14,14,10,11,10,16,11,11,16,19,15,7,12,19,15,11,11,17,25,6,13,10,12,5,15,18,9
10,5,21,9,18,16,12,15,11,16,12,12,19,20,17,10,16,21,18,11,13,17,28,6,15,12,14,5,18,20,11
11,8,25,12,19,18,14,16,14,17,15,14,20,21,21,11,20,24,21,13,17,19,31,8,16,16,15,7,18,22,14
12,9,29,15,22,21,17,18,17,18,18,16,24,22,23,14,25,25,24,14,17,23,33,9,17,18,18,8,19,24,16
13,9,32,17,26,23,19,21,20,19,20,16,29,25,27,17,25,27,26,16,18,25,37,11,18,20,20,13,20,25,17
14,9,32,20,28,25,22,23,23,21,24,17,32,30,31,19,28,28,29,17,19,27,37,12,20,23,21,16,21,26,20
15,10,33,23,29,25,27,26,25,24,27,20,34,31,33,23,32,30,32,19,23,31,40,12,22,26,24,20,25,30,23
16,12,36,25,32,26,30,28,29,28,28,23,35,34,34,25,35,33,34,23,23,35,41,13,23,30,28,22,28,31,26
17,14,40,28,35,30,32,30,30,29,31,25,38,36,37,28,38,36,35,25,27,36,42,13,24,31,31,25,30,33,27
18,15,44,29,36,34,34,34,34,33,34,28,40,38,38,33,40,37,39,30,31,38,45,14,24,34,34,27,33,35,29
19,15,47,33,39,37,34,37,35,36,38,31,44,40,40,36,43,40,41,34,35,42,46,16,25,37,38,30,35,35,31
20,17,49,34,42,37,37,40,37,38,42,33,46,43,44,39,45,42,41,37,39,44,48,18,29,42,41,31,36,35,31
21,18,51,36,44,38,40,41,39,41,44,36,49,47,45,41,48,43,42,37,43,45,48,21,30,45,43,31,38,37,31
