1,1,3,1,5,3,1,2,2,0,0,2,0,1,1,1,2,1,0,3,1,1,1,2,3,3,0,0,0,0,1
2,2,4,2,9,3,4,4,2,1,2,4,0,2,2,3,7,3,1,5,2,1,6,2,3,5,1,0,0,0,6
3,2,5,3,13,4,4,6,4,1,3,9,0,2,4,3,12,5,3,6,4,1,11,2,4,7,2,1,2,1,10
4,2,10,3,18,5,5,6,4,6,4,14,5,2,5,6,16,5,6,6,5,6,16,2,6,8,2,1,2,1,14
5,2,15,5,23,6,5,7,5,11,5,19,9,2,5,8,20,6,7,7,6,10,20,3,6,8,7,5,6,1,17
6,2,19,6,25,7,6,7,5,16,5,22,13,4,6,10,25,7,9,8,6,15,23,3,7,9,11,8,11,2,22
7,2,23,7,29,8,7,8,6,21,5,27,18,4,7,10,27,9,10,8,6,19,28,4,7,9,16,13,16,3,24
8,3,28,7,32,9,7,11,9,26,6,29,22,5,7,11,31,9,10,10,7,22,31,4,8,11,19,17,20,5,29
9,5,30,8,34,10,8,12,9,29,6,32,25,5,9,12,35,9,10,14,7,26,34,7,9,11,24,21,24,5,32
10,6,35,8,38,10,8,12,10,34,6,35,30,5,9,13,38,9,11,19,7,31,37,8,9,12,27,25,26,6,36
11,7,40,8,40,11,8,13,10,38,6,38,33,7,10,14,40,11,12,23,8,35,41,9,10,13,32,30,30,7,41
12,8,42,9,44,11,10,13,10,42,7,42,36,10,11,15,44,11,12,26,8,38,44,10,15,14,35,32,35,7,44
13,8,46,10,47,11,10,14,14,47,7,45,40,10,11,15,45,12,12,29,8,42,48,10,20,15,40,36,37,7,46
14,8,48,10,52,13,10,14,19,49,8,47,43,10,12,16,49,13,13,32,8,46,50,10,25,16,42,41,41,7,48
15,8,50,11,54,14,11,16,23,52,9,48,46,15,12,17,52,14,14,36,9,51,52,10,28,16,45,44,44,8,50
16,8,54,11,57,14,11,16,26,53,14,51,48,18,12,17,55,15,15,39,9,54,53,10,33,17,48,46,45,13,52
17,9,56,11,61,14,11,17,29,56,18,53,51,23,13,17,58,16,15,44,9,56,53,11,35,17,50,49,49,18,54
18,9,60,11,62,15,11,17,31,60,22,55,54,27,14,17,59,16,15,46,10,59,57,12,38,18,54,53,54,21,56
19,9,63,13,65,15,11,18,35,62,25,57,56,29,14,17,63,16,15,49,10,61,58,13,39,18,55,55,58,25,58
20,10,65,13,67,15,12,19,37,64,29,58,57,32,14,17,65,16,15,52,10,63,60,15,44,18,59,60,59,28,60
21,10,65,13,70,19,13,20,41,67,33,59,60,36,15,17,67,20,15,54,10,66,61,15,48,19,62,63,61,32,63
22,11,65,13,71,22,13,20,44,68,36,60,60,38,15,17,68,25,19,55,15,68,62,16,52,20,65,64,63,36,65
23,11,66,13,74,26,13,20,47,69,37,60,63,40,15,17,69,29,24,55,19,71,63,16,54,21,67,64,65,40,66
24,11,67,15,76,29,13,20,49,70,42,62,66,43,16,18,71,32,27,56,24,71,65,16,58,21,68,67,67,45,68
25,11,69,16,78,33,13,20,53,72,45,63,67,46,16,18,74,35,31,59,27,73,65,16,59,21,70,70,68,48,69
26,12,69,16,78,37,14,20,56,73,46,65,68,49,16,19,76,38,35,62,32,74,68,16,63,22,71,72,70,51,70
27,12,72,17,80,40,15,20,60,73,48,66,72,53,16,19,76,42,37,64,37,75,70,16,64,22,72,73,71,53,73
28,13,73,17,82,43,15,20,62,74,53,67,73,56,17,19,78,45,40,66,40,75,73,16,67,22,74,74,72,55,74
29,13,77,17,82,46,16,20,63,76,55,67,76,58,17,23,79,47,42,69,44,75,73,17,68,23,77,75,72,57,76
30,17,81,17,83,49,16,21,65,77,58,70,77,61,17,26,79,50,45,71,48,78,75,17,71,23,79,76,75,60,76
31,21,81,18,85,51,16,21,66,78,61,70,78,63,17,31,79,53,48,72,51,79,76,18,72,23,80,77,75,62,78
32,23,82,19,85,53,16,21,68,80,62,71,78,66,18,34,80,55,49,74,53,79,78,18,72,24,81,77,77,63,79
33,28,84,19,86,55,16,26,70,81,65,72,80,68,18,37,80,58,53,75,56,79,79,18,75,24,82,77,79,64,81
34,33,84,20,87,57,16,29,72,82,67,73,81,70,18,41,80,59,56,76,56,81,80,18,78,24,82,80,79,65,81
35,36,84,21,88,58,16,34,74,85,70,75,81,71,18,45,81,61,60,77,58,82,81,18,80,25,84,81,79,65,82
36,37,84,21,88,61,16,38,74,87,70,77,82,75,18,50,81,65,61,77,61,84,82,18,82,25,85,82,81,68,82
37,40,85,21,89,63,16,41,75,88,72,77,83,75,19,51,82,65,61,78,64,85,85,18,84,26,85,82,82,71,82
38,45,86,21,89,64,17,43,76,89,74,78,84,76,19,53,82,68,63,79,67,85,86,18,84,26,86,83,83,71,83
39,48,87,21,90,67,17,46,77,90,77,79,84,76,19,55,82,70,65,82,68,87,86,18,84,26,86,83,84,73,83
40,52,89,21,90,69,17,48,78,91,78,80,86,77,19,56,82,71,67,83,69,87,86,19,84,26,88,85,87,75,83
41,54,90,21,90,71,17,52,80,91,78,81,87,78,19,59,82,72,68,84,69,88,86,19,84,26,89,85,88,76,85
42,57,92,21,90,74,18,54,81,91,79,82,87,78,19,62,83,73,69,84,69,90,87,19,85,27,89,85,89,76,85
43,59,93,21,91,76,18,56,83,91,79,82,88,79,19,64,84,75,70,84,71,91,88,19,86,28,89,86,91,79,86
44,60,93,21,92,78,18,59,84,92,80,83,88,79,23,66,84,75,71,87,72,91,88,19,88,28,90,86,93,80,86
45,62,93,21,93,78,18,60,84,92,81,85,89,80,26,67,86,77,71,88,76,92,90,19,89,28,90,87,93,81,86
46,63,95,21,95,79,19,62,87,92,83,86,89,83,31,68,86,77,73,88,77,92,90,19,89,28,90,87,93,83,86
47,66,96,21,95,80,19,66,87,92,83,87,89,83,35,69,86,80,75,88,77,92,90,23,89,28,90,88,94,84,86
48,67,96,22,96,81,19,68,88,92,83,89,90,84,39,71,87,81,75,89,78,92,91,26,89,28,90,88,95,86,87
49,70,96,22,97,82,23,70,88,93,83,91,90,84,43,71,88,82,77,89,80,93,92,30,91,28,91,89,95,88,88
50,71,96,22,97,86,28,71,89,93,83,91,90,85,46,74,88,83,78,91,81,93,92,33,92,28,91,90,95,88,89
51,74,96,22,97,88,31,74,89,93,83,92,90,85,50,75,90,84,79,91,81,93,92,35,93,28,92,90,96,88,89
52,75,96,22,97,88,36,75,89,94,83,92,91,86,53,76,90,84,79,91,82,94,93,40,93,28,92,90,96,89,90
53,76,96,22,97,89,37,76,89,94,83,92,92,86,56,79,90,85,81,91,83,94,94,43,93,28,92,91,96,89,90
54,78,96,22,97,90,38,78,91,95,84,93,92,87,59,80,90,85,81,91,84,94,94,44,93,28,93,92,97,90,90
55,79,96,22,97,90,42,78,91,95,84,93,92,87,61,80,90,85,81,91,85,96,95,45,93,28,93,92,97,93,90
56,79,96,23,97,91,43,79,91,95,84,94,92,88,63,80,90,85,82,92,86,96,96,48,94,28,94,92,97,93,90
57,79,96,27,97,92,46,80,91,95,84,95,94,89,65,80,90,86,84,92,86,96,96,48,94,28,94,92,97,94,90
58,80,96,32,97,92,50,80,92,95,85,96,94,89,67,82,90,86,85,93,88,96,97,52,94,28,94,92,97,94,91
59,82,96,36,97,93,53,82,92,95,85,97,94,89,69,82,91,86,85,93,89,97,97,53,94,28,94,92,97,94,92
60,83,96,40,97,94,55,82,92,97,86,97,94,90,71,83,93,88,86,94,89,97,97,55,94,28,94,92,97,94,94
61,86,97,42,97,94,56,82,92,97,86,97,94,90,71,85,93,88,87,94,89,97,97,58,94,28,94,92,97,94,94
62,86,97,46,97,94,59,82,93,97,86,98,94,90,73,85,94,88,88,94,90,97,97,61,94,28,94,92,97,94,94
63,87,97,48,97,95,61,82,93,97,86,98,95,91,76,87,94,89,90,94,90,97,97,63,94,28,94,93,97,94,94
64,88,97,51,97,95,64,83,93,97,87,98,95,91,78,87,94,90,92,94,90,97,97,64,94,28,94,93,97,94,94
65,90,97,53,97,95,65,83,94,97,88,98,96,91,78,87,95,90,92,94,90,97,97,65,94,28,95,93,97,94,94
66,90,97,55,97,96,67,84,95,98,88,98,96,91,78,87,95,90,92,95,90,98,97,66,95,28,95,93,97,95,95
67,91,97,58,97,96,69,85,97,98,88,98,96,91,80,88,95,90,92,95,91,98,97,68,95,28,95,94,97,95,95
68,91,98,59,97,96,70,87,97,98,88,98,96,92,81,90,96,90,92,95,92,99,97,68,95,28,95,94,97,95,96
69,91,99,62,97,96,72,88,97,98,88,98,96,92,83,90,96,91,92,95,92,99,97,69,96,28,95,95,97,95,96
70,91,99,64,97,96,75,89,97,98,88,98,97,93,86,91,96,91,93,96,92,99,97,70,96,28,95,95,97,96,97
71,93,99,65,97,96,76,90,97,98,88,98,97,93,87,91,97,92,93,96,93,99,97,71,96,28,95,95,97,97,97
72,93,99,66,97,96,76,91,97,98,88,98,98,94,87,92,97,92,94,96,93,99,97,71,96,28,95,95,97,97,97
73,94,99,69,97,96,78,92,97,98,88,98,99,94,87,92,98,92,94,96,93,99,98,73,96,28,96,96,97,97,97
74,95,99,69,97,96,78,93,97,98,89,98,99,94,90,93,98,92,94,96,93,99,98,74,96,28,96,96,97,99,97
75,95,99,71,97,96,79,93,97,98,90,98,99,94,90,93,98,92,94,96,93,99,98,75,96,28,96,96,98,99,97
76,95,99,72,97,97,80,94,97,98,90,98,99,95,91,93,98,92,94,96,93,99,98,76,96,28,96,96,98,99,98
