"","x"
"640",8
"641",7
"642",5
"643",3
"644",4
"645",9
"646",6
"647",5
"648",2
"649",9
"650",7
"651",6
"652",8
"653",10
"654",8
"655",8
"656",9
"657",12
"658",6
"659",7
"660",7
"661",10
"662",6
"663",6
"664",5
"665",3
"666",7
"667",6
"668",5
"669",10
"670",6
"671",3
"672",2
"673",3
"674",7
"675",6
"676",6
"677",3
"678",5
"679",7
"680",4
"681",7
"682",5
"683",3
"684",8
"685",6
"686",6
"687",8
"688",11
"689",8
"690",6
"691",7
"692",7
"693",9
"694",9
"695",8
"696",6
"697",6
"698",3
"699",7
"700",5
"701",7
"702",3
"703",5
"704",5
"705",3
"706",3
"707",1
"708",6
"709",3
"710",3
"711",6
"712",6
"713",4
"714",8
"715",8
"716",8
"717",9
"718",9
"719",7
"720",7
"721",5
"722",2
"723",5
"724",3
"725",5
"726",3
"727",6
"728",6
"729",7
"730",9
"731",4
"732",8
"733",5
"734",5
"735",7
"736",8
"737",6
"738",6
"739",4
"740",1
"741",4
"742",7
"743",9
"744",10
"745",12
"746",7
"747",8
"748",6
"749",5
"750",6
"751",7
"752",9
"753",5
"754",5
"755",6
"756",7
"757",9
"758",10
"759",11
"760",8
"761",8
"762",5
"763",2
"764",6
"765",6
"766",9
"767",6
"768",2
"769",2
"770",4
"771",5
"772",3
"773",1
"774",0
"775",2
"776",5
"777",4
"778",4
"779",7
"780",5
"781",6
"782",11
"783",11
"784",9
"785",7
"786",7
"787",5
"788",7
"789",11
"790",9
"791",12
"792",10
"793",11
"794",7
"795",3
"796",5
"797",7
"798",10
"799",12
"800",12
"801",11
"802",6
"803",2
"804",4
"805",3
"806",8
"807",12
"808",14
"809",12
"810",8
"811",8
"812",6
"813",4
"814",7
"815",5
"816",8
"817",10
"818",9
"819",5
"820",7
"821",6
"822",7
"823",11
"824",7
"825",5
"826",5
"827",3
"828",7
"829",6
"830",9
"831",7
"832",9
"833",7
"834",10
"835",6
"836",6
"837",4
"838",4
"839",8
"840",1
"841",4
"842",7
"843",4
"844",4
"845",3
"846",4
"847",6
"848",4
"849",3
"850",5
"851",6
"852",8
"853",5
"854",3
"855",6
"856",10
"857",7
"858",9
"859",9
"860",8
"861",8
"862",1
"863",2
"864",5
"865",5
"866",6
"867",5
"868",8
"869",8
"870",9
"871",13
"872",14
"873",7
"874",7
"875",6
"876",5
"877",6
"878",8
"879",6
"880",7
"881",6
"882",4
"883",3
"884",6
"885",10
"886",7
"887",5
"888",6
"889",11
"890",10
"891",11
"892",8
"893",10
"894",10
"895",7
"896",8
"897",12
"898",5
"899",8
"900",9
"901",11
"902",7
"903",3
"904",4
"905",6
"906",8
"907",11
"908",7
"909",3
"910",5
"911",5
"912",6
"913",9
"914",7
"915",8
"916",5
"917",3
"918",7
"919",4
"920",7
"921",8
"922",5
"923",6
"924",7
"925",7
"926",9
"927",6
"928",6
"929",7
"930",11
"931",10
"932",11
"933",7
"934",6
"935",8
"936",8
"937",8
"938",8
"939",13
"940",10
"941",4
"942",3
"943",6
"944",5
"945",4
"946",4
"947",6
"948",6
"949",5
"950",5
"951",6
"952",6
"953",8
"954",12
"955",13
"956",9
"957",8
"958",7
"959",5
"960",3
"961",6
"962",7
"963",7
"964",10
"965",4
"966",6
"967",4
"968",6
"969",7
"970",9
"971",9
"972",13
"973",11
"974",9
"975",6
"976",4
"977",4
"978",5
"979",4
"980",3
"981",6
"982",6
"983",5
"984",3
"985",5
"986",6
"987",7
"988",5
"989",5
"990",6
"991",5
"992",4
"993",4
"994",10
"995",9
"996",6
"997",1
"998",5
"999",5
"1000",7
