"","x"
"1",3
"2",1
"3",4
"4",7
"5",6
"6",5
"7",4
"8",1
"9",7
"10",8
"11",10
"12",8
"13",5
"14",3
"15",5
"16",3
"17",2
"18",6
"19",7
"20",8
"21",3
"22",5
"23",4
"24",4
"25",5
"26",3
"27",3
"28",2
"29",4
"30",4
"31",4
"32",8
"33",4
"34",5
"35",8
"36",11
"37",8
"38",4
"39",7
"40",12
"41",13
"42",12
"43",5
"44",3
"45",8
"46",4
"47",8
"48",7
"49",5
"50",8
"51",11
"52",8
"53",5
"54",2
"55",5
"56",6
"57",8
"58",6
"59",4
"60",4
"61",2
"62",4
"63",5
"64",7
"65",3
"66",2
"67",7
"68",8
"69",10
"70",7
"71",8
"72",4
"73",9
"74",7
"75",8
"76",7
"77",4
"78",10
"79",6
"80",3
"81",7
"82",3
"83",3
"84",10
"85",10
"86",7
"87",12
"88",13
"89",11
"90",5
"91",6
"92",7
"93",4
"94",3
"95",7
"96",6
"97",4
"98",6
"99",5
"100",2
"101",6
"102",9
"103",11
"104",8
"105",8
"106",6
"107",7
"108",5
"109",11
"110",7
"111",5
"112",4
"113",4
"114",2
"115",4
"116",7
"117",9
"118",5
"119",5
"120",3
"121",5
"122",3
"123",2
"124",5
"125",7
"126",12
"127",12
"128",7
"129",3
"130",4
"131",8
"132",12
"133",9
"134",9
"135",1
"136",6
"137",6
"138",7
"139",9
"140",11
"141",8
"142",5
"143",4
"144",4
"145",4
"146",5
"147",6
"148",3
"149",6
"150",4
"151",3
"152",5
"153",6
"154",5
"155",4
"156",2
"157",6
"158",7
"159",6
"160",8
"161",8
"162",7
"163",7
"164",6
"165",9
"166",7
"167",2
"168",4
"169",3
"170",4
"171",6
"172",8
"173",12
"174",7
"175",5
"176",9
"177",11
"178",13
"179",7
"180",7
"181",4
"182",3
"183",3
"184",2
"185",4
"186",3
"187",6
"188",9
"189",6
"190",8
"191",5
"192",5
"193",8
"194",3
"195",4
"196",8
"197",8
"198",9
"199",5
"200",3
"201",6
"202",9
"203",10
"204",11
"205",6
"206",7
"207",7
"208",11
"209",13
"210",4
"211",2
"212",4
"213",5
"214",4
"215",4
"216",10
"217",12
"218",6
"219",9
"220",8
"221",6
"222",1
"223",6
"224",7
"225",5
"226",3
"227",4
"228",8
"229",7
"230",10
"231",9
"232",7
"233",0
"234",3
"235",6
"236",8
"237",8
"238",4
"239",4
"240",2
"241",3
"242",7
"243",9
"244",10
"245",12
"246",13
"247",10
"248",7
"249",7
"250",11
"251",13
"252",13
"253",12
"254",10
"255",7
"256",6
"257",11
"258",10
"259",10
"260",4
"261",8
"262",7
"263",8
"264",7
"265",0
"266",7
"267",6
"268",6
"269",8
"270",6
"271",10
"272",7
"273",8
"274",5
"275",9
"276",11
"277",5
"278",9
"279",9
"280",7
"281",5
"282",3
"283",5
"284",4
"285",5
"286",7
"287",11
"288",14
"289",15
"290",10
"291",12
"292",12
"293",11
"294",4
"295",5
"296",4
"297",1
"298",6
"299",6
"300",7
"301",8
"302",7
"303",7
"304",7
"305",1
"306",4
"307",3
"308",3
"309",5
"310",6
"311",7
"312",14
"313",15
"314",10
"315",3
"316",6
"317",6
"318",7
"319",11
"320",11
"321",8
"322",9
"323",10
"324",6
"325",10
"326",4
"327",3
"328",5
"329",6
"330",5
"331",5
"332",8
"333",8
"334",10
"335",9
"336",6
"337",4
"338",7
"339",12
"340",14
"341",18
"342",20
"343",18
"344",11
"345",10
"346",12
"347",10
"348",9
"349",8
"350",1
"351",6
"352",7
"353",6
"354",6
"355",3
"356",6
"357",2
"358",4
"359",7
"360",11
"361",12
"362",12
"363",13
"364",14
"365",15
"366",12
"367",10
"368",10
"369",8
"370",9
