"","x"
"1",5
"2",10
"3",8
"4",8
"5",10
"6",9
"7",4
"8",10
"9",10
"10",7
"11",4
"12",6
"13",6
"14",4
"15",3
"16",2
"17",3
"18",6
"19",3
"20",5
"21",2
"22",4
"23",3
"24",6
"25",8
"26",11
"27",11
"28",11
"29",11
"30",6
"31",6
"32",4
"33",5
"34",7
"35",6
"36",7
"37",5
"38",9
"39",3
"40",2
"41",6
"42",7
"43",3
"44",3
"45",7
"46",9
"47",7
"48",7
"49",11
"50",6
"51",8
"52",9
"53",11
"54",11
"55",5
"56",5
"57",3
"58",5
"59",5
"60",3
"61",4
"62",4
"63",2
"64",5
"65",3
"66",7
"67",8
"68",6
"69",10
"70",4
"71",1
"72",8
"73",8
"74",5
"75",5
"76",4
"77",1
"78",6
"79",8
"80",7
"81",6
"82",2
"83",4
"84",3
"85",7
"86",2
"87",8
"88",7
"89",5
"90",3
"91",4
"92",5
"93",5
"94",5
"95",5
"96",3
"97",9
"98",10
"99",7
"100",6
"101",5
"102",3
"103",4
"104",3
"105",4
"106",4
"107",8
"108",10
"109",9
"110",7
"111",8
"112",5
"113",5
"114",4
"115",5
"116",7
"117",4
"118",2
"119",0
"120",1
"121",3
"122",4
"123",3
"124",2
"125",8
"126",6
"127",10
"128",7
"129",7
"130",3
"131",1
"132",8
"133",12
"134",11
"135",10
"136",10
"137",7
"138",9
"139",14
"140",12
"141",11
"142",10
"143",7
"144",4
"145",3
"146",4
"147",7
"148",7
"149",5
"150",7
"151",3
"152",10
"153",11
"154",9
"155",4
"156",3
"157",8
"158",7
"159",6
"160",8
"161",8
"162",9
"163",3
"164",1
"165",6
"166",7
"167",4
"168",6
"169",5
"170",2
"171",2
"172",3
"173",4
"174",3
"175",2
"176",2
"177",5
"178",5
"179",4
"180",1
"181",0
"182",4
"183",4
"184",7
"185",3
"186",6
"187",1
"188",2
"189",6
"190",5
"191",10
"192",7
"193",7
"194",4
"195",7
"196",9
"197",8
"198",9
"199",7
"200",8
"201",8
"202",8
"203",6
"204",5
"205",4
"206",5
"207",5
"208",1
"209",3
"210",1
"211",2
"212",4
"213",4
"214",4
"215",7
"216",7
"217",8
"218",4
"219",7
"220",12
"221",11
"222",10
"223",12
"224",7
"225",4
"226",3
"227",5
"228",7
"229",3
"230",2
"231",7
"232",5
"233",1
"234",5
"235",7
"236",8
"237",7
"238",6
"239",4
"240",3
"241",3
"242",2
"243",2
"244",4
"245",5
"246",3
"247",7
"248",3
"249",4
"250",4
"251",5
"252",2
"253",4
"254",6
"255",3
"256",4
"257",0
"258",3
"259",4
"260",4
"261",1
"262",2
"263",5
"264",10
"265",5
"266",3
"267",4
"268",4
"269",6
"270",4
"271",5
"272",1
"273",2
"274",3
"275",5
"276",4
"277",7
"278",6
"279",8
"280",12
"281",12
"282",10
"283",9
"284",8
"285",7
"286",6
"287",8
"288",2
"289",2
"290",8
"291",4
"292",3
"293",4
"294",5
"295",6
"296",7
"297",8
"298",7
"299",10
"300",10
"301",10
"302",5
"303",6
"304",6
"305",3
"306",3
"307",2
"308",3
"309",6
"310",8
"311",3
"312",5
"313",7
"314",11
"315",6
"316",4
"317",6
"318",3
"319",5
"320",8
"321",6
"322",6
"323",4
"324",6
"325",4
"326",5
"327",4
"328",5
"329",8
"330",6
"331",3
"332",6
"333",7
"334",6
"335",3
"336",3
"337",4
"338",3
"339",1
"340",8
"341",11
"342",6
"343",4
"344",5
"345",6
"346",7
"347",9
"348",10
"349",6
"350",4
"351",4
"352",3
"353",4
"354",4
