29,28,26,19,29,15,17,26,20,14,24,28,32,25,29,36,19,19,34,26,24,28,27,27,28,28,19,25,20,16,24,29,26,27,25,32,19,26,32,24,32,31,28,27,20,33,13,25,23,27,24,23,17,22,24,24,24,26,24,27,22,27,28,18,22,26,23,23,30,28,23,23,23,27,24,16,23,29,27,27,29,20,27,17,30,30,24,27,23,23,24,27,25,24,23,28,32,21,14,23,29,24,26,24,26,28,25,28,20,28,15,23,25,19,20,23,35,25,30,24,14,22,27,20,27,21,26,26,26,23,31,32,22,28,27,25,15,18,28,30,27,27,21,25,21,19,26,29,28,24,27,27,31,17,27,15,27,26,29,20,29,23,28,23,27,26,24,30,20,30,25,24,25,25,28,29,25,30,30,22,24,17,20,25,18,29,25,26,27,23,27,19,25,25,25,32,22,32,20,26,24,23,29,27,31,32,21,26,29,29,26,20,20,26,31,27,25,19,31,27,27,25,24,27,24,11,27,24,24,28,18,20,25,19,34,34,27,29,19,28,19,20,30,22,27,24,28,23,26,27,27,21,22,28,19,23,26,25,29,33,31,26,21,20,29,16,19,19,26,29,20,26,27,27,31,19,24,22,24,19,15,35,23,29,24,24,24,24,24,26,22,24,21,19,16,29,30,24,28,25
31,30,29,22,32,17,20,27,21,15,27,29,34,27,31,36,22,20,35,27,27,29,27,30,31,30,22,28,22,18,26,32,27,30,28,34,22,27,34,27,34,33,30,30,23,37,17,27,25,28,26,25,20,26,26,24,26,28,28,28,26,28,28,20,24,29,25,26,31,30,24,26,24,28,29,19,23,32,30,28,32,22,29,20,32,31,28,27,27,26,27,28,27,27,25,31,33,24,18,26,31,27,29,26,30,29,28,30,24,30,18,26,27,23,22,24,35,29,32,26,16,25,28,22,28,25,28,27,29,24,32,35,24,30,31,29,19,21,30,32,28,27,22,26,23,21,27,31,31,27,29,29,34,20,28,18,28,30,32,22,29,24,28,26,28,28,26,32,20,30,28,28,27,27,30,30,28,31,30,26,27,18,23,25,23,31,28,30,29,25,29,21,27,27,27,32,24,33,23,28,27,25,30,28,33,34,24,29,29,29,29,20,24,29,32,28,27,22,31,28,29,26,27,30,25,13,30,27,26,30,20,22,28,22,37,34,27,31,22,31,21,20,31,25,29,26,31,25,27,30,28,25,23,30,22,25,27,29,32,34,33,28,24,22,30,20,22,21,27,33,22,27,30,28,33,21,25,24,27,21,17,37,24,31,26,26,27,26,25,27,22,26,25,20,16,31,32,26,29,27
33,31,30,25,33,20,21,30,23,17,30,31,35,30,32,37,25,20,36,29,29,30,28,32,33,30,25,30,24,18,28,34,29,34,32,36,23,30,35,29,35,34,31,33,25,38,21,29,30,30,27,28,23,30,29,26,28,31,30,30,27,29,29,21,26,31,27,29,34,30,25,28,25,29,30,22,24,33,32,32,32,23,30,21,34,31,29,29,30,27,31,31,29,29,27,34,35,27,20,30,33,29,30,30,32,31,30,31,27,33,19,29,30,26,23,27,35,32,33,27,17,26,30,24,29,27,30,29,30,27,32,37,27,33,31,29,20,23,33,33,29,31,25,28,26,23,28,34,32,31,30,30,35,22,29,22,31,30,33,23,32,25,31,26,30,30,30,33,24,33,28,29,29,28,30,31,29,32,31,27,29,19,28,27,25,33,28,31,30,26,33,21,29,28,28,33,27,35,28,30,29,27,32,29,36,36,27,30,31,30,31,21,25,31,35,30,29,24,32,31,31,28,29,32,28,13,31,30,30,33,22,24,30,23,39,35,28,31,25,35,23,25,33,26,32,27,31,25,30,32,30,26,25,32,24,28,29,31,34,35,36,32,26,26,31,23,24,23,29,35,24,27,33,29,36,23,28,26,29,24,21,40,27,33,26,28,28,27,26,28,24,28,25,24,18,33,34,29,31,29
36,36,32,29,34,21,23,34,24,17,31,33,36,30,33,38,27,22,38,29,31,33,29,33,35,32,27,32,25,19,28,34,30,35,34,37,25,31,35,30,37,37,33,35,26,38,23,30,32,31,28,32,27,34,31,27,30,32,31,32,27,30,30,23,27,33,31,31,35,30,28,31,28,31,32,24,28,36,35,34,33,26,32,23,35,33,31,29,33,29,32,33,32,31,30,35,36,30,21,31,33,29,32,31,32,34,30,34,28,33,21,29,30,28,25,29,38,34,34,27,21,28,32,25,31,27,30,29,32,27,32,39,28,36,33,29,22,24,36,34,30,34,29,32,29,25,29,37,33,33,31,32,38,24,30,22,32,33,33,25,34,26,33,28,34,31,32,35,25,33,31,32,30,29,31,31,32,33,32,29,30,22,29,28,28,34,28,33,32,29,33,22,30,31,30,35,30,38,30,30,29,29,34,30,38,40,29,33,33,32,32,22,26,32,36,31,30,26,33,34,33,28,31,33,30,14,33,34,34,34,24,26,30,24,40,36,28,32,28,36,24,27,34,28,32,27,33,28,32,34,30,28,26,34,27,30,30,34,36,36,38,33,28,26,32,26,26,26,29,36,24,29,34,31,39,24,30,30,30,25,22,41,31,36,27,30,28,28,28,30,26,30,27,25,22,34,35,30,31,30
37,39,33,30,37,23,25,36,27,22,35,35,37,30,35,38,30,22,38,30,32,35,32,36,37,35,28,34,27,21,29,36,32,36,36,37,27,32,37,34,38,38,34,36,26,40,23,31,34,32,31,34,30,35,33,27,34,32,32,36,28,30,32,25,27,35,32,33,36,30,29,33,30,33,34,26,29,36,38,36,36,28,35,23,35,33,34,30,35,31,33,34,32,32,32,37,36,31,21,31,36,30,34,33,33,36,33,35,28,33,24,31,33,30,27,30,40,37,35,27,25,30,33,26,31,28,33,30,34,31,32,39,29,38,35,29,23,26,37,35,32,38,32,34,31,25,32,37,33,33,33,32,40,26,34,24,33,35,34,28,34,29,34,31,36,33,34,39,25,34,32,35,30,31,32,31,35,36,34,29,30,24,33,28,29,35,30,36,32,30,34,22,33,33,32,35,31,38,30,32,30,30,34,32,38,40,30,34,34,33,34,23,27,34,39,32,32,27,35,35,33,30,32,36,31,17,35,35,35,35,27,30,32,26,40,37,31,35,29,38,27,29,35,29,35,30,36,29,34,36,33,32,29,37,30,31,31,35,36,36,39,34,28,30,34,27,28,30,31,37,25,31,35,32,39,28,32,31,32,27,24,41,31,38,28,30,29,29,29,32,27,32,28,28,24,36,36,30,34,32
39,39,35,30,38,24,27,38,28,25,35,38,39,30,36,38,32,23,41,31,34,36,32,36,39,37,30,35,29,24,30,37,32,37,39,39,29,32,37,37,39,40,35,37,27,40,26,32,35,36,32,35,33,36,36,28,35,32,32,36,30,31,33,25,28,35,35,33,37,33,29,34,31,35,35,26,31,36,38,38,39,31,35,26,36,33,36,30,36,32,34,34,33,33,33,38,39,33,23,31,37,33,34,34,33,37,38,38,31,36,27,33,35,32,28,32,40,37,37,28,28,31,35,28,33,32,33,33,36,34,34,39,30,39,38,30,24,29,39,36,33,40,36,35,33,26,34,38,34,34,35,33,40,27,34,27,36,36,35,30,35,30,35,31,37,34,36,41,27,37,34,37,31,34,34,34,38,36,38,30,31,26,34,29,30,35,32,38,33,32,36,23,33,35,36,36,33,39,33,34,31,31,34,33,38,42,31,37,34,34,35,26,28,35,41,33,33,30,36,35,35,31,33,37,32,20,38,36,37,37,27,30,35,29,41,37,33,35,30,38,28,30,36,31,35,31,37,32,34,36,35,32,29,37,32,33,32,37,37,37,39,35,30,31,34,29,29,32,31,39,26,35,37,35,39,32,33,33,32,28,27,43,32,38,29,31,31,32,32,33,29,33,30,32,25,36,36,31,36,32
41,41,37,32,39,24,27,40,28,26,36,40,40,32,38,38,34,26,41,31,36,38,33,38,39,38,31,35,31,26,32,38,33,38,39,39,31,33,38,38,39,41,37,38,29,41,28,35,37,37,33,37,34,39,37,30,35,34,35,37,31,31,34,26,31,36,37,33,38,34,31,35,32,36,36,28,32,37,38,39,40,31,38,29,37,35,37,32,38,34,37,36,36,35,34,39,40,35,23,32,38,36,38,37,35,37,39,39,31,38,30,34,37,35,28,33,41,37,39,31,31,32,36,31,35,35,33,37,37,36,36,40,31,39,39,33,25,33,39,36,34,41,36,36,33,30,35,39,35,36,37,35,41,30,34,27,37,38,37,33,35,34,36,32,38,37,37,42,31,38,35,38,32,36,35,34,40,36,41,31,32,27,35,29,32,36,33,39,33,33,36,26,33,37,37,38,34,40,34,38,32,34,34,36,39,44,35,37,35,36,36,27,30,37,42,36,35,30,37,35,35,32,33,37,34,23,40,37,38,37,27,33,37,32,41,38,34,36,31,41,28,33,37,34,36,32,37,35,37,38,35,33,31,39,32,34,35,38,40,38,42,37,34,33,35,31,29,33,33,41,27,37,39,37,41,33,36,34,33,29,31,44,34,38,29,34,33,32,35,33,29,36,31,33,26,37,37,32,36,33
43,41,37,32,40,24,29,40,30,29,38,41,41,34,39,38,36,27,42,32,39,38,35,40,40,40,34,38,32,28,32,41,35,39,41,41,33,35,40,40,41,42,37,40,31,42,30,36,37,39,33,38,37,40,38,30,35,35,36,38,34,31,34,26,32,37,39,36,38,36,32,36,32,38,37,29,34,37,43,40,41,34,38,31,38,36,37,35,39,37,38,37,36,36,35,40,40,35,26,32,39,36,39,38,36,38,42,40,32,38,32,34,38,36,30,35,41,39,40,34,32,33,37,32,36,36,33,39,40,36,37,41,34,39,39,36,26,35,40,38,34,41,37,38,35,31,37,39,35,36,39,36,42,33,37,29,37,39,38,35,36,34,37,33,40,39,37,42,32,39,35,38,36,37,35,36,40,36,41,33,34,29,36,30,32,39,34,41,35,35,36,28,35,39,38,39,35,41,37,38,34,34,37,38,41,44,35,37,36,38,38,28,31,37,43,37,38,30,38,37,36,33,35,38,35,23,41,38,38,37,29,34,37,34,42,38,35,38,33,41,30,36,39,35,38,34,37,37,38,40,35,35,32,41,34,34,36,39,42,39,43,38,34,35,36,34,31,33,35,41,28,37,40,39,42,35,37,36,33,30,33,45,35,39,29,36,35,34,37,34,32,36,32,33,28,38,38,34,37,34
44,42,37,32,41,26,31,40,31,31,39,43,42,36,40,40,37,30,44,34,39,39,37,43,41,42,36,38,35,29,33,44,37,41,41,41,35,36,41,41,41,44,39,40,32,42,31,37,39,40,34,40,38,40,40,30,36,37,36,40,35,32,35,27,33,39,41,37,40,36,32,37,32,39,37,30,36,38,44,41,41,35,39,32,40,37,38,37,41,38,38,38,37,37,37,41,41,39,28,33,40,38,39,40,37,40,42,40,34,40,33,35,38,36,30,36,42,39,42,36,33,34,38,34,37,38,34,41,40,36,37,41,34,39,39,37,26,37,41,38,35,41,37,39,37,31,39,39,38,39,39,38,43,34,40,31,37,41,38,38,39,35,38,35,42,41,38,44,33,40,36,40,36,38,37,36,40,36,42,35,36,30,38,32,33,40,36,42,38,38,37,29,36,39,39,40,37,41,38,39,34,35,38,40,43,44,36,37,37,38,39,30,33,40,43,38,39,31,40,39,39,34,36,39,38,26,41,39,40,38,32,37,37,34,44,38,35,38,35,41,32,39,39,37,39,36,37,39,40,41,37,35,32,41,36,36,37,39,43,40,43,39,35,36,37,38,32,35,38,44,29,40,41,40,44,39,37,38,33,32,35,45,37,39,30,38,38,38,40,37,35,37,33,35,30,38,39,34,40,35
44,42,37,35,42,27,32,40,34,32,40,43,43,38,40,41,37,31,45,35,42,39,37,43,41,43,36,39,35,31,34,44,39,42,42,41,35,37,42,42,44,45,39,41,32,43,31,39,40,42,35,42,38,41,40,31,37,39,38,41,35,32,36,28,33,39,41,38,41,37,33,40,33,40,39,32,38,38,44,41,43,36,39,35,43,37,39,38,43,39,40,39,38,38,38,41,42,39,31,36,41,43,39,40,37,42,43,41,35,42,36,37,39,39,31,40,42,41,43,36,34,36,39,34,37,38,36,42,42,38,38,42,36,41,40,39,26,39,41,38,35,42,39,41,39,33,42,40,38,40,40,39,43,34,42,33,40,42,38,40,40,35,38,37,43,41,39,45,33,44,38,41,37,40,39,38,41,36,43,36,37,31,39,35,35,40,38,42,39,39,38,32,39,40,40,41,39,41,39,40,37,36,39,40,43,45,38,38,38,39,42,32,34,40,43,38,40,31,41,41,39,37,38,39,38,28,41,39,42,39,34,40,39,35,44,38,37,39,37,41,33,41,41,39,40,39,37,40,41,41,38,36,33,42,36,37,38,40,45,41,43,39,35,36,38,40,34,36,39,45,30,40,42,40,44,39,39,40,34,33,35,45,39,40,30,40,39,40,41,39,35,40,34,37,33,39,40,35,40,35
