"","x"
"1",8
"2",6
"3",3
"4",7
"5",7
"6",9
"7",2
"8",4
"9",6
"10",7
"11",9
"12",9
"13",12
"14",10
"15",8
"16",12
"17",12
"18",13
"19",6
"20",8
"21",7
"22",4
"23",2
"24",3
"25",2
"26",6
"27",7
"28",11
"29",4
"30",3
"31",2
"32",4
"33",2
"34",2
"35",1
"36",3
"37",6
"38",0
"39",1
"40",3
"41",0
"42",5
"43",7
"44",6
"45",5
"46",7
"47",11
"48",8
"49",7
"50",5
"51",3
"52",6
"53",1
"54",4
"55",5
"56",4
"57",7
"58",2
"59",5
"60",8
"61",5
"62",4
"63",5
"64",7
"65",5
"66",5
"67",8
"68",2
"69",2
"70",2
"71",4
"72",5
"73",3
"74",4
"75",2
"76",2
"77",4
"78",5
"79",6
"80",6
"81",9
"82",6
"83",7
"84",6
"85",1
"86",3
"87",6
"88",8
"89",2
"90",4
"91",7
"92",4
"93",5
"94",2
"95",3
"96",3
"97",2
"98",6
"99",4
"100",2
"101",4
"102",2
"103",3
"104",3
"105",1
"106",5
"107",4
"108",1
"109",7
"110",4
"111",1
"112",1
"113",4
"114",2
"115",5
"116",7
"117",2
"118",2
"119",6
"120",5
"121",3
"122",6
"123",8
"124",9
"125",3
"126",6
"127",10
"128",7
"129",8
"130",6
"131",9
"132",9
"133",7
"134",7
"135",8
"136",4
"137",5
"138",4
"139",4
"140",4
"141",2
"142",5
"143",5
"144",6
"145",0
"146",2
"147",9
"148",7
"149",4
"150",4
"151",5
"152",1
"153",2
"154",4
"155",2
"156",3
"157",4
"158",6
"159",4
"160",8
"161",8
"162",7
"163",5
"164",5
"165",6
"166",7
"167",8
"168",9
"169",4
"170",2
"171",3
"172",4
"173",0
"174",2
"175",2
"176",1
"177",2
"178",5
"179",5
"180",5
"181",5
"182",3
"183",5
"184",5
"185",6
"186",6
"187",2
"188",3
"189",5
"190",5
"191",5
"192",3
"193",4
"194",4
"195",9
"196",11
"197",11
"198",5
"199",5
"200",7
"201",3
"202",1
"203",6
"204",5
"205",0
"206",3
"207",2
"208",2
"209",6
"210",3
"211",3
"212",5
"213",12
"214",4
"215",4
"216",4
"217",2
"218",3
"219",8
"220",4
"221",3
"222",4
"223",2
"224",2
"225",1
"226",7
"227",9
"228",6
"229",4
"230",1
"231",1
"232",5
"233",4
"234",3
"235",5
"236",5
"237",3
"238",4
"239",4
"240",5
"241",1
"242",1
"243",3
"244",6
"245",6
"246",5
"247",6
"248",7
"249",8
"250",10
"251",6
"252",4
"253",8
"254",7
"255",11
"256",3
"257",3
"258",11
"259",6
"260",1
