"","x"
"640",8
"641",6
"642",6
"643",7
"644",2
"645",3
"646",3
"647",7
"648",3
"649",6
"650",6
"651",7
"652",9
"653",3
"654",4
"655",3
"656",2
"657",5
"658",4
"659",1
"660",4
"661",5
"662",7
"663",8
"664",9
"665",6
"666",5
"667",5
"668",4
"669",10
"670",7
"671",6
"672",7
"673",10
"674",8
"675",8
"676",10
"677",3
"678",8
"679",3
"680",3
"681",4
"682",1
"683",3
"684",5
"685",5
"686",5
"687",4
"688",3
"689",2
"690",1
"691",1
"692",3
"693",5
"694",2
"695",7
"696",5
"697",4
"698",5
"699",5
"700",12
"701",13
"702",6
"703",14
"704",12
"705",9
"706",7
"707",6
"708",6
"709",6
"710",12
"711",9
"712",10
"713",10
"714",9
"715",10
"716",10
"717",5
"718",4
"719",5
"720",2
"721",1
"722",1
"723",4
"724",8
"725",5
"726",3
"727",7
"728",5
"729",3
"730",5
"731",9
"732",7
"733",6
"734",4
"735",3
"736",3
"737",4
"738",7
"739",2
"740",3
"741",4
"742",9
"743",8
"744",7
"745",6
"746",10
"747",15
"748",10
"749",8
"750",6
"751",4
"752",4
"753",4
"754",5
"755",4
"756",6
"757",12
"758",7
"759",9
"760",9
"761",6
"762",4
"763",3
"764",8
"765",8
"766",6
"767",7
"768",4
"769",8
"770",0
"771",2
"772",4
"773",8
"774",5
"775",4
"776",2
"777",7
"778",9
"779",5
"780",5
"781",5
"782",3
"783",1
"784",4
"785",0
"786",2
"787",3
"788",4
"789",5
"790",5
"791",3
"792",1
"793",0
"794",2
"795",6
"796",3
"797",5
"798",2
"799",5
"800",9
"801",7
"802",4
"803",3
"804",2
"805",3
"806",3
"807",6
"808",6
"809",0
"810",2
"811",5
"812",6
"813",9
"814",5
"815",0
"816",2
"817",4
"818",5
"819",6
"820",7
"821",6
"822",9
"823",11
"824",9
"825",5
"826",3
"827",3
"828",4
"829",2
"830",2
"831",7
"832",11
"833",13
"834",11
"835",5
"836",7
"837",5
"838",3
"839",6
"840",5
"841",6
"842",5
"843",8
"844",7
"845",7
"846",9
"847",8
"848",5
"849",0
"850",4
"851",4
"852",5
"853",5
"854",5
"855",4
"856",2
"857",3
"858",5
"859",7
"860",7
"861",6
"862",5
"863",6
"864",5
"865",5
"866",3
"867",3
"868",5
"869",2
"870",6
"871",7
"872",8
"873",7
"874",11
"875",14
"876",13
"877",8
"878",10
"879",5
"880",2
"881",7
"882",4
"883",4
"884",4
"885",8
"886",3
"887",4
"888",4
"889",4
"890",7
"891",3
"892",9
"893",3
"894",8
"895",7
"896",5
"897",5
"898",5
"899",3
"900",3
"901",5
"902",5
"903",9
"904",6
"905",2
"906",7
"907",7
"908",6
"909",8
"910",3
"911",5
"912",7
"913",4
"914",1
"915",4
"916",8
"917",0
"918",4
"919",2
"920",5
"921",1
"922",5
"923",5
"924",2
"925",3
"926",6
"927",4
"928",4
"929",5
"930",1
"931",3
"932",5
"933",8
"934",7
"935",14
"936",7
"937",13
"938",13
"939",12
"940",10
"941",8
"942",9
"943",9
"944",10
"945",11
"946",3
"947",4
"948",6
"949",6
"950",8
"951",5
"952",5
"953",5
"954",4
"955",4
"956",6
"957",6
"958",10
"959",4
"960",2
"961",3
"962",4
"963",10
"964",5
"965",9
"966",2
"967",2
"968",3
"969",4
"970",1
"971",2
"972",1
"973",7
"974",10
"975",6
"976",4
"977",5
"978",6
"979",5
"980",8
"981",7
"982",3
"983",4
"984",2
"985",4
"986",5
"987",6
"988",4
"989",6
"990",4
"991",6
"992",1
"993",0
"994",3
"995",5
"996",8
"997",5
"998",2
"999",5
"1000",4
