"","x"
"1",6
"2",5
"3",7
"4",7
"5",2
"6",4
"7",4
"8",7
"9",5
"10",4
"11",8
"12",9
"13",7
"14",7
"15",3
"16",6
"17",6
"18",5
"19",3
"20",9
"21",7
"22",7
"23",2
"24",3
"25",1
"26",4
"27",2
"28",5
"29",2
"30",4
"31",4
"32",5
"33",9
"34",8
"35",7
"36",7
"37",3
"38",1
"39",2
"40",2
"41",2
"42",1
"43",3
"44",1
"45",2
"46",6
"47",8
"48",4
"49",5
"50",3
"51",9
"52",10
"53",9
"54",4
"55",2
"56",1
"57",1
"58",2
"59",5
"60",7
"61",4
"62",4
"63",9
"64",10
"65",8
"66",6
"67",6
"68",8
"69",10
"70",10
"71",7
"72",8
"73",9
"74",1
"75",3
"76",9
"77",4
"78",7
"79",4
"80",4
"81",2
"82",3
"83",8
"84",8
"85",9
"86",14
"87",12
"88",7
"89",9
"90",4
"91",2
"92",7
"93",9
"94",4
"95",3
"96",4
"97",4
"98",7
"99",2
"100",2
"101",4
"102",4
"103",6
"104",5
"105",7
"106",2
"107",5
"108",8
"109",7
"110",8
"111",9
"112",12
"113",3
"114",4
"115",4
"116",2
"117",6
"118",7
"119",6
"120",1
"121",1
"122",2
"123",2
"124",6
"125",3
"126",2
"127",4
"128",3
"129",6
"130",6
"131",3
"132",3
"133",4
"134",2
"135",0
"136",5
"137",4
"138",8
"139",1
"140",7
"141",10
"142",5
"143",6
"144",2
"145",2
"146",7
"147",5
"148",4
"149",5
"150",7
"151",10
"152",12
"153",12
"154",5
"155",6
"156",2
"157",2
"158",4
"159",0
"160",3
"161",4
"162",6
"163",5
"164",9
"165",7
"166",7
"167",5
"168",4
"169",1
"170",6
"171",9
"172",4
"173",8
"174",6
"175",6
"176",8
"177",10
"178",8
"179",3
"180",1
"181",3
"182",8
"183",3
"184",9
"185",11
"186",13
"187",11
"188",4
"189",4
"190",9
"191",10
"192",9
"193",4
"194",5
"195",8
"196",1
"197",3
"198",6
"199",6
"200",8
"201",6
"202",6
"203",7
"204",11
"205",2
"206",2
"207",3
"208",5
"209",2
"210",1
"211",5
"212",6
"213",7
"214",2
"215",5
"216",8
"217",3
"218",5
"219",6
"220",5
"221",4
"222",7
"223",4
"224",4
"225",8
"226",4
"227",5
"228",8
"229",4
"230",7
"231",10
"232",6
"233",4
"234",5
"235",7
"236",7
"237",4
"238",2
"239",2
"240",3
"241",8
"242",4
"243",1
"244",4
"245",3
"246",3
"247",9
"248",5
"249",11
"250",15
"251",14
"252",11
"253",10
"254",11
"255",7
"256",5
"257",7
"258",2
"259",4
"260",4
"261",3
"262",2
"263",6
"264",7
"265",6
"266",6
"267",6
"268",9
"269",6
"270",2
"271",3
"272",4
"273",2
"274",7
"275",10
"276",6
"277",2
"278",3
"279",1
"280",4
"281",6
"282",7
"283",10
"284",5
"285",6
"286",5
"287",5
"288",5
"289",4
"290",2
"291",2
"292",3
"293",9
"294",8
"295",10
"296",8
"297",11
"298",10
"299",2
"300",4
"301",1
"302",2
"303",5
"304",3
"305",4
"306",7
"307",5
"308",7
"309",7
"310",8
"311",1
"312",5
"313",5
"314",11
"315",3
"316",5
"317",6
"318",6
"319",11
"320",8
"321",10
"322",11
"323",7
"324",11
"325",15
"326",4
"327",6
"328",7
"329",10
"330",7
"331",8
"332",7
"333",7
"334",8
"335",3
"336",2
"337",8
"338",12
"339",4
"340",3
"341",3
"342",5
"343",6
"344",2
"345",6
"346",6
"347",4
"348",5
"349",6
"350",6
"351",1
"352",0
"353",4
"354",5
"355",3
"356",6
"357",7
"358",1
"359",3
"360",2
"361",4
"362",1
"363",3
"364",5
"365",7
"366",5
"367",4
"368",8
"369",7
"370",5
"371",3
"372",3
"373",0
"374",4
"375",4
"376",2
"377",4
"378",3
"379",4
"380",8
"381",7
"382",7
"383",4
"384",3
"385",9
"386",9
"387",7
"388",8
"389",4
"390",3
"391",4
"392",6
"393",3
"394",8
"395",4
"396",7
"397",8
"398",3
"399",7
"400",3
"401",3
"402",7
"403",8
"404",4
"405",2
"406",6
"407",2
"408",9
"409",7
"410",6
"411",8
"412",12
"413",4
"414",1
"415",5
"416",6
"417",2
"418",4
"419",1
"420",1
"421",5
"422",5
"423",3
"424",5
"425",6
"426",5
"427",2
"428",4
"429",3
"430",5
"431",5
"432",6
"433",8
"434",8
"435",15
"436",14
"437",4
"438",2
"439",8
"440",7
"441",8
"442",7
"443",9
"444",9
"445",1
"446",5
"447",5
"448",9
"449",7
"450",6
"451",4
"452",7
"453",6
"454",6
"455",3
"456",0
"457",5
"458",6
"459",5
"460",4
"461",3
"462",5
"463",10
"464",15
"465",14
"466",11
"467",10
"468",3
"469",2
"470",4
"471",9
"472",10
"473",9
"474",4
"475",5
"476",4
"477",6
"478",6
"479",10
"480",6
"481",6
"482",6
"483",3
